repo1,repo2,topics1,topics2,code_sim,doc_sim,requirement_sim,readme_sim,repo_sim
evonove/django-oauth-toolkit,przemyslawjanpietrzak/pyMonet,"['django', 'oauth2', 'python']","['functional-programming', 'monads', 'python']",0.2235415279865265,-0.009548429399728775,0.4958799183368683,0.2686450779438019,0.18684083223342896
evonove/django-oauth-toolkit,Suor/funcy,"['django', 'oauth2', 'python']","['functional-programming', 'python', 'utilities']",0.14819902181625366,-0.09519406408071518,0.5129789113998413,0.4229944348335266,0.18261206150054932
idan/oauthlib,SmileyChris/django-countries,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']","['country-codes', 'django', 'python']",0.3157097101211548,0.019124699756503105,0.0,0.24834255874156952,0.175650492310524
idan/oauthlib,Suor/funcy,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']","['functional-programming', 'python', 'utilities']",0.17641495168209076,-0.0738781988620758,0.3947565257549286,0.3046145439147949,0.17388975620269775
lepture/authlib,przemyslawjanpietrzak/pyMonet,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']","['functional-programming', 'monads', 'python']",0.1735524833202362,-0.028201207518577576,0.689534068107605,0.13147270679473877,0.17249944806098938
lepture/authlib,Suor/funcy,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']","['functional-programming', 'python', 'utilities']",0.09353911876678467,-0.12368131428956985,0.7372017502784729,0.20627549290657043,0.1684434413909912
idan/oauthlib,przemyslawjanpietrzak/pyMonet,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']","['functional-programming', 'monads', 'python']",0.25265443325042725,-0.006783114746212959,0.34158387780189514,0.17277531325817108,0.16364368796348572
selwin/python-user-agents,pytoolz/toolz,"['browser-detection', 'python', 'user-agent-detection']",[],0.208457350730896,0.0,0.0,0.2602735757827759,0.1621972620487213
idan/oauthlib,pytoolz/toolz,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']",[],0.20492927730083466,-0.027689632028341293,0.0,0.40182921290397644,0.16165632009506226
SmileyChris/django-countries,billpmurphy/hask,"['country-codes', 'django', 'python']",[],0.21940381824970245,-0.01021343469619751,0.0,0.30424201488494873,0.16024164855480194
django-compressor/django-compressor,Suor/funcy,[],"['functional-programming', 'python', 'utilities']",0.1730710119009018,0.10500407963991165,0.0,0.2981417179107666,0.16020473837852478
idan/oauthlib,django-compressor/django-compressor,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']",[],0.1766814887523651,-0.011837214231491089,0.0,0.3077853322029114,0.14328701794147491
evonove/django-oauth-toolkit,pytoolz/toolz,"['django', 'oauth2', 'python']",[],0.15291425585746765,-0.10472573339939117,0.0,0.5185856819152832,0.1379973292350769
selwin/python-user-agents,django-compressor/django-compressor,"['browser-detection', 'python', 'user-agent-detection']",[],0.1584843546152115,0.0,0.0,0.18886452913284302,0.12647804617881775
lepture/authlib,pytoolz/toolz,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']",[],0.1455618143081665,-0.04732734337449074,0.0,0.2794768214225769,0.11099183559417725
django-compressor/django-compressor,przemyslawjanpietrzak/pyMonet,[],"['functional-programming', 'monads', 'python']",0.1602201908826828,0.06359885632991791,0.0,0.17975012958049774,0.11073564738035202
lepture/authlib,django-compressor/django-compressor,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']",[],0.13983666896820068,-0.019915763288736343,0.0,0.18785697221755981,0.09893862158060074
selwin/python-user-agents,billpmurphy/hask,"['browser-detection', 'python', 'user-agent-detection']",[],0.13690875470638275,0.0,0.0,0.11655169725418091,0.08700835704803467
idan/oauthlib,billpmurphy/hask,"['authentication', 'authorization', 'identity', 'jwt-authentication', 'jwt-bearer-tokens', 'library', 'oauth', 'oauth1', 'oauth2', 'oidc', 'oidc-provider', 'openid-connect', 'python', 'python-2', 'python-3', 'python2', 'python3', 'token-based-authentication']",[],0.1282091736793518,-0.00507920328527689,0.0,0.1923966407775879,0.08645758032798767
django-compressor/django-compressor,billpmurphy/hask,[],[],0.04721318557858467,0.032754313200712204,0.0,0.1721244901418686,0.08166256546974182
lepture/authlib,billpmurphy/hask,"['django', 'flask', 'jose', 'jwe', 'jwk', 'jws', 'jwt', 'oauth', 'oauth2', 'oauth2-provider', 'oauth2-server', 'oidc', 'openid-connect']",[],0.06443725526332855,-0.03754574432969093,0.0,0.17556609213352203,0.05366308242082596
evonove/django-oauth-toolkit,billpmurphy/hask,"['django', 'oauth2', 'python']",[],0.06594191491603851,-0.07937830686569214,0.0,0.253571480512619,0.04935476556420326
